1.38192778	1.00000000
1.15388333	0.71968567
0.96450556	0.51794747
0.78569444	0.37275937
0.61685000	0.26826958
0.45291666	0.19306977
0.33923888	0.13894955
0.24501666	0.10000000
0.18033889	0.07196857
0.12463889	0.05179475
0.08463889	0.03727594
0.05783889	0.02682696
0.04019444	0.01930698
0.01776111	0.01389495
0.01790556	0.01000000
0.66888333	0.30484230
0.47343889	0.21939064
0.35310556	0.15789230
0.25619444	0.11363283
0.18245000	0.08177992
0.19291667	0.05885583
0.12428333	0.04235770
0.08719444	0.03048423
0.05910555	0.02193906
0.04203889	0.01578923
0.02910556	0.01136328
0.02035000	0.00817799
0.01392778	0.00588558
0.00946111	0.00423577
0.00651666	0.00304842
1.06491665	0.44830728
0.85690557	0.32264033
0.71552777	0.23219962
0.52646112	0.16711074
0.39376111	0.12026721
0.28846111	0.08655459
0.20293889	0.06229210
0.14296111	0.04483073
0.10538333	0.03226403
0.07017222	0.02321996
0.04939444	0.01671107
0.03397222	0.01202672
0.02639445	0.00865546
0.01780556	0.00622921
0.01463889	0.00448307
0.34130555	0.07788531
0.21385000	0.05605294
0.15140556	0.04034050
0.10612778	0.02903248
0.07330556	0.02089426
0.05147222	0.01503730
0.03702778	0.01082213
0.02599445	0.00778853
0.01739444	0.00560529
0.01188333	0.00403405
0.00956111	0.00290325
0.00572778	0.00208943
0.00491667	0.00150373
0.00275000	0.00108221
0.00316111	0.00077885
